Prefixo;grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration;percent_reune;emissor
consultoria;DI SPREAD;VIXL15;2026-05-19;2026-10-26;DI + 2,1500%;1.3498;0.7807;1.0324;0.07;0.95;1.11;507.12313;100.48;111.0;--;VIX LOGÍSTICA S/A
consultoria;DI SPREAD;VIXL19;2026-05-19;2031-10-15;DI + 1,2500%;1.4703;1.0546;1.254;0.05;1.19;1.31;1012.867842;99.98;830.0;--;VIX LOGÍSTICA S/A (*)
consultoria;IPCA SPREAD;VLIM28;2026-05-19;2037-10-15;IPCA + 6,7052%;8.1034;7.8392;7.9802;0.05;7.92;8.03;946.249643;91.16;1940.0;--;VLI MULTIMODAL S/A (*)
consultoria;DI SPREAD;VLME12;2026-05-19;2030-10-06;DI + 3,0000%;;;;;;;860.345679;97.62;;--;VRENTAL LOCACAO DE MAQUINAS E EQUIPAMENTOS S.A. (*)
consultoria;DI SPREAD;VVEO16;2026-05-19;2027-10-27;DI + 1,6000%;;;;;;;551.870386;54.69;;--;CM HOSPITALAR S.A. (*) (**)
consultoria;IPCA SPREAD;WNTY12;2026-05-19;2035-08-15;IPCA + 8,6044%;9.5735;9.2689;9.4064;0.01;9.39;9.42;1021.11686;96.56;1192.0;--;WINITY S.A. (*)
gen;DI SPREAD;ABSP12;2026-05-19;2026-10-15;DI + 1,9500%;;0.5815;1.4833;0.07;1.41;1.55;1015.530339;100.18;104.0;35%;AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**)
gen;DI SPREAD;AEGP17;2026-05-19;2027-04-12;DI + 2,1500%;3.4236;1.9081;2.5645;0.21;2.34;2.78;337.20185;99.65;214.0;10%;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**)
gen;PREFIXADO;AEGPA8;2026-05-19;2031-01-15;PREFIXADO + 16,3433%;;;16.551;0.15;16.39;16.71;1044.976808;99.41;827.0;--;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*)
gen;DI SPREAD;AEGPB7;2026-05-19;2028-09-15;DI + 2,9500%;3.7741;2.1876;3.0337;0.26;2.76;3.29;1027.287471;99.87;399.0;--;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*)
gen;IPCA SPREAD;AESLB7;2026-05-19;2039-04-15;IPCA + 6,2031%;7.9503;7.7293;7.8555;0.03;7.81;7.89;972.678597;87.82;2086.0;--;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*)
gen;IPCA SPREAD;AESLC2;2026-05-19;2033-03-15;IPCA + 6,5243%;7.9554;7.6692;7.771;0.05;7.72;7.82;964.425661;93.77;1384.0;45%;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*)
gen;IPCA SPREAD;ALGAB1;2026-05-19;2031-07-15;IPCA + 4,9999%;9.1074;8.7921;8.9517;0.03;8.91;8.98;1158.226473;87.28;920.0;10%;ALGAR TELECOM S/A (*)
gen;DI SPREAD;ALGTA6;2026-05-19;2033-02-22;DI + 1,2500%;1.3;0.9047;1.1105;0.01;1.09;1.13;1040.847762;100.56;1035.0;--;ALGAR TELECOM S/A (*)
gen;DI SPREAD;ALPA22;2026-05-19;2029-12-12;DI + 1,5000%;0.7534;0.3981;0.5741;0.03;0.53;0.61;1089.247276;102.21;602.0;--;ALPARGATAS S.A. (*) (**)
gen;IPCA SPREAD;ANET11;2026-05-19;2029-03-15;IPCA + 5,6006%;;;;;;;;;;--;AMERICA NET S.A. (*)
