grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;percent_reune;emissor;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration
IPCA SPREAD;ENEV29;2026-06-16;2037-09-15;IPCA + 7,0000%;--;ENEVA S.A. (*);8.0515;7.9063;7.9415;0.16;7.78;8.10;1142.042490;93.80;1825.0
DI SPREAD;ENEVC0;2026-06-16;2029-04-15;DI + 1,0000%;--;ENEVA S.A. (*);0.6970;0.5733;0.6323;0.01;0.62;0.64;1032.658020;100.85;590.0
DI SPREAD;ENGIB5;2026-06-16;2026-10-15;DI + 1,6400%;--;ENERGISA S/A;0.8270;0.2624;0.4377;0.32;0.11;0.75;1029.048970;100.40;85.0
DI SPREAD;ENGIB8;2026-06-16;2028-06-20;DI + 2,1000%;--;ENERGISA S/A;0.9594;;0.7285;0.27;0.45;1.00;1101.276040;102.27;419.0
DI SPREAD;ENGIC4;2026-06-16;2032-09-15;DI + 0,7500%;15%;ENERGISA S/A (*);0.8697;0.6500;0.7288;0.03;0.69;0.76;1036.713637;100.08;986.0
DI SPREAD;ENGIC9;2026-06-16;2028-09-15;DI + 1,4500%;--;ENERGISA S/A;0.6887;0.5079;0.6041;0.08;0.51;0.69;1054.399721;101.61;483.0
IPCA SPREAD;EPRL12;2026-06-16;2049-03-15;IPCA + 8,2030%;--;EPR LITORAL PIONEIRO S.A. (*);8.8933;8.5418;8.6894;0.02;8.66;8.71;1016.767136;96.08;2223.0
IPCA SPREAD;EQTR21;2026-06-16;2039-04-15;IPCA + 4,8500%;--;EQUATORIAL TRANSMISSORA 8 SPE S.A.;8.3032;8.2350;8.2606;0.07;8.18;8.33;1144.766824;81.51;1548.0
DI SPREAD;ERDVB3;2026-06-16;2030-10-15;DI + 2,3500%;--;ECORODOVIAS CONCESSÕES E SERVIÇOS S/A (*);1.4761;1.1601;1.3307;0.06;1.26;1.39;1053.092839;102.63;655.0
DI SPREAD;ESCEB4;2026-06-16;2031-08-28;DI + 0,5600%;--;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA SA (*);0.7982;0.3296;0.5925;0.07;0.52;0.66;1040.627833;99.93;527.0
DI SPREAD;ESCEB6;2026-06-16;2032-06-11;DI + 0,5800%;--;EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA SA (*);0.9379;0.5646;0.7322;0.02;0.70;0.75;995.736389;99.40;989.0
